GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service,com.dmdev.service.service,UserService,20,0,0,0,4,0,3,0,3,0
service,com.dmdev.service.entity,Car.CarBuilder,6,21,0,0,0,1,1,4,1,4
service,com.dmdev.service.entity,User.UserBuilder,8,28,0,0,0,1,1,5,1,5
service,com.dmdev.service.entity,Role,65,20,14,0,0,5,11,5,4,5
service,com.dmdev.service.entity,Request.RequestBuilder,12,42,0,0,0,1,1,7,1,7
service,com.dmdev.service.entity,Role.RoleBuilder,4,14,0,0,0,1,1,3,1,3
service,com.dmdev.service.entity,Status,0,21,0,0,0,4,0,1,0,1
service,com.dmdev.service.entity,Car,105,23,22,0,1,5,17,5,6,5
service,com.dmdev.service.entity,Request,225,32,46,0,4,5,35,5,12,5
service,com.dmdev.service.entity,User,145,26,30,0,2,5,23,5,8,5
service,com.dmdev.service.entity,Entity,4,6,0,0,1,2,1,2,1,2
service,com.dmdev.service.util,HibernateUtil,7,20,0,0,1,10,1,2,1,2
